component,eigenvalue,% of variance,% of variance (cumulative)
0,0.083,1.79%,1.79%
1,0.081,1.75%,3.54%
2,0.070,1.50%,5.04%
3,0.065,1.39%,6.42%
4,0.061,1.31%,7.73%
5,0.060,1.28%,9.02%
6,0.059,1.26%,10.28%
7,0.058,1.24%,11.51%
8,0.057,1.23%,12.75%
9,0.057,1.23%,13.98%
10,0.057,1.23%,15.21%
11,0.057,1.22%,16.43%
12,0.054,1.16%,17.59%
13,0.052,1.11%,18.69%
14,0.045,0.96%,19.66%
15,0.043,0.93%,20.59%
16,0.043,0.91%,21.51%
17,0.041,0.88%,22.39%
18,0.041,0.88%,23.26%
19,0.040,0.86%,24.12%
20,0.039,0.84%,24.96%
21,0.038,0.82%,25.79%
22,0.037,0.80%,26.59%
23,0.037,0.79%,27.38%
24,0.036,0.77%,28.15%
25,0.034,0.74%,28.89%
26,0.034,0.72%,29.61%
27,0.033,0.71%,30.32%
28,0.032,0.68%,31.00%
29,0.031,0.67%,31.67%
30,0.031,0.67%,32.34%
31,0.031,0.66%,33.01%
32,0.031,0.66%,33.66%
33,0.030,0.65%,34.32%
34,0.030,0.65%,34.97%
35,0.030,0.65%,35.62%
36,0.030,0.65%,36.27%
37,0.030,0.64%,36.91%
38,0.030,0.64%,37.55%
39,0.030,0.64%,38.19%
40,0.030,0.64%,38.83%
41,0.030,0.64%,39.47%
42,0.030,0.63%,40.10%
43,0.029,0.63%,40.73%
44,0.029,0.63%,41.36%
45,0.029,0.63%,41.99%
46,0.029,0.63%,42.61%
47,0.029,0.62%,43.24%
48,0.029,0.62%,43.86%
49,0.029,0.62%,44.48%
