,const,TELENOW_1,TELENOW_2,TELECOVID_1,TELECOVID_2,TELE2019_1,TELE2019_2,HRYEAR4,rank_16,rank_25,rank_100,PEHRUSLT
0,1.0,0,0,0,0,0,0,2019,0,1,0,40
5,1.0,0,0,0,0,0,0,2019,0,1,0,40
7,1.0,0,0,0,0,0,0,2019,0,1,0,40
8,1.0,0,0,0,0,0,0,2019,0,1,0,72
9,1.0,0,0,0,0,0,0,2019,0,1,0,50
10,1.0,0,0,0,0,0,0,2019,0,1,0,50
12,1.0,0,0,0,0,0,0,2019,0,1,0,45
16,1.0,0,0,0,0,0,0,2019,0,1,0,40
19,1.0,0,0,0,0,0,0,2019,0,1,0,35
22,1.0,0,0,0,0,0,0,2019,0,1,0,40
23,1.0,0,0,0,0,0,0,2019,0,1,0,40
27,1.0,0,0,0,0,0,0,2019,0,1,0,40
32,1.0,0,0,0,0,0,0,2019,0,1,0,60
36,1.0,0,0,0,0,0,0,2019,0,1,0,40
40,1.0,0,0,0,0,0,0,2019,1,0,0,60
42,1.0,0,0,0,0,0,0,2019,1,0,0,40
43,1.0,0,0,0,0,0,0,2019,1,0,0,25
46,1.0,0,0,0,0,0,0,2019,0,1,0,40
47,1.0,0,0,0,0,0,0,2019,0,0,1,50
49,1.0,0,0,0,0,0,0,2019,0,1,0,40
50,1.0,0,0,0,0,0,0,2019,0,1,0,40
51,1.0,0,0,0,0,0,0,2019,0,1,0,50
52,1.0,0,0,0,0,0,0,2019,0,1,0,40
56,1.0,0,0,0,0,0,0,2019,0,1,0,40
57,1.0,0,0,0,0,0,0,2019,0,1,0,45
59,1.0,0,0,0,0,0,0,2019,0,1,0,24
60,1.0,0,0,0,0,0,0,2019,0,1,0,40
61,1.0,0,0,0,0,0,0,2019,0,1,0,40
62,1.0,0,0,0,0,0,0,2019,0,1,0,39
63,1.0,0,0,0,0,0,0,2019,0,1,0,40
64,1.0,0,0,0,0,0,0,2019,0,1,0,55
68,1.0,0,0,0,0,0,0,2019,0,1,0,50
72,1.0,0,0,0,0,0,0,2019,0,1,0,40
74,1.0,0,0,0,0,0,0,2019,0,1,0,40
75,1.0,0,0,0,0,0,0,2019,0,1,0,40
76,1.0,0,0,0,0,0,0,2019,0,1,0,40
77,1.0,0,0,0,0,0,0,2019,1,0,0,30
78,1.0,0,0,0,0,0,0,2019,0,1,0,25
79,1.0,0,0,0,0,0,0,2019,0,1,0,40
82,1.0,0,0,0,0,0,0,2019,0,1,0,50
83,1.0,0,0,0,0,0,0,2019,0,1,0,40
85,1.0,0,0,0,0,0,0,2019,0,1,0,35
86,1.0,0,0,0,0,0,0,2019,0,1,0,40
87,1.0,0,0,0,0,0,0,2019,0,1,0,45
88,1.0,0,0,0,0,0,0,2019,0,1,0,40
89,1.0,0,0,0,0,0,0,2019,0,1,0,40
91,1.0,0,0,0,0,0,0,2019,0,1,0,44
96,1.0,0,0,0,0,0,0,2019,0,1,0,16
97,1.0,0,0,0,0,0,0,2019,0,1,0,65
99,1.0,0,0,0,0,0,0,2019,0,1,0,40
100,1.0,0,0,0,0,0,0,2019,0,1,0,40
104,1.0,0,0,0,0,0,0,2019,0,1,0,35
105,1.0,0,0,0,0,0,0,2019,0,1,0,40
116,1.0,0,0,0,0,0,0,2019,0,1,0,47
119,1.0,0,0,0,0,0,0,2019,0,1,0,40
123,1.0,0,0,0,0,0,0,2019,0,1,0,40
124,1.0,0,0,0,0,0,0,2019,0,0,1,40
127,1.0,0,0,0,0,0,0,2019,0,1,0,52
129,1.0,0,0,0,0,0,0,2019,0,1,0,25
130,1.0,0,0,0,0,0,0,2019,0,1,0,2
131,1.0,0,0,0,0,0,0,2019,0,1,0,50
132,1.0,0,0,0,0,0,0,2019,0,1,0,32
133,1.0,0,0,0,0,0,0,2019,0,1,0,40
134,1.0,0,0,0,0,0,0,2019,0,1,0,40
135,1.0,0,0,0,0,0,0,2019,0,1,0,40
137,1.0,0,0,0,0,0,0,2019,0,1,0,70
140,1.0,0,0,0,0,0,0,2019,0,1,0,45
141,1.0,0,0,0,0,0,0,2019,0,1,0,55
143,1.0,0,0,0,0,0,0,2019,0,1,0,40
146,1.0,0,0,0,0,0,0,2019,0,1,0,40
151,1.0,0,0,0,0,0,0,2019,0,1,0,35
152,1.0,0,0,0,0,0,0,2019,0,1,0,25
153,1.0,0,0,0,0,0,0,2019,0,1,0,60
156,1.0,0,0,0,0,0,0,2019,0,1,0,50
157,1.0,0,0,0,0,0,0,2019,0,1,0,40
164,1.0,0,0,0,0,0,0,2019,0,1,0,40
166,1.0,0,0,0,0,0,0,2019,0,1,0,70
171,1.0,0,0,0,0,0,0,2019,0,1,0,40
173,1.0,0,0,0,0,0,0,2019,0,1,0,50
174,1.0,0,0,0,0,0,0,2019,0,1,0,40
175,1.0,0,0,0,0,0,0,2019,0,1,0,40
176,1.0,0,0,0,0,0,0,2019,0,1,0,60
177,1.0,0,0,0,0,0,0,2019,0,1,0,60
180,1.0,0,0,0,0,0,0,2019,0,1,0,40
187,1.0,0,0,0,0,0,0,2019,0,1,0,70
188,1.0,0,0,0,0,0,0,2019,0,1,0,20
189,1.0,0,0,0,0,0,0,2019,0,1,0,40
192,1.0,0,0,0,0,0,0,2019,0,1,0,50
194,1.0,0,0,0,0,0,0,2019,0,1,0,40
195,1.0,0,0,0,0,0,0,2019,0,1,0,40
199,1.0,0,0,0,0,0,0,2019,0,1,0,45
200,1.0,0,0,0,0,0,0,2019,0,1,0,40
203,1.0,0,0,0,0,0,0,2019,0,1,0,36
204,1.0,0,0,0,0,0,0,2019,1,0,0,30
205,1.0,0,0,0,0,0,0,2019,1,0,0,30
207,1.0,0,0,0,0,0,0,2019,0,1,0,25
208,1.0,0,0,0,0,0,0,2019,0,1,0,40
209,1.0,0,0,0,0,0,0,2019,1,0,0,40
212,1.0,0,0,0,0,0,0,2019,0,1,0,50
213,1.0,0,0,0,0,0,0,2019,0,1,0,36
214,1.0,0,0,0,0,0,0,2019,0,1,0,40
219,1.0,0,0,0,0,0,0,2019,0,1,0,40
220,1.0,0,0,0,0,0,0,2019,0,0,1,38
221,1.0,0,0,0,0,0,0,2019,0,1,0,40
222,1.0,0,0,0,0,0,0,2019,0,1,0,40
224,1.0,0,0,0,0,0,0,2019,0,1,0,40
227,1.0,0,0,0,0,0,0,2019,0,1,0,40
230,1.0,0,0,0,0,0,0,2019,0,1,0,40
231,1.0,0,0,0,0,0,0,2019,0,1,0,10
232,1.0,0,0,0,0,0,0,2019,0,1,0,60
233,1.0,0,0,0,0,0,0,2019,0,1,0,40
237,1.0,0,0,0,0,0,0,2019,0,1,0,40
241,1.0,0,0,0,0,0,0,2019,0,1,0,40
242,1.0,0,0,0,0,0,0,2019,0,1,0,40
244,1.0,0,0,0,0,0,0,2019,0,1,0,40
245,1.0,0,0,0,0,0,0,2019,0,1,0,40
247,1.0,0,0,0,0,0,0,2019,0,1,0,40
248,1.0,0,0,0,0,0,0,2019,0,1,0,40
249,1.0,0,0,0,0,0,0,2019,0,1,0,40
252,1.0,0,0,0,0,0,0,2019,0,1,0,50
253,1.0,0,0,0,0,0,0,2019,0,1,0,5
254,1.0,0,0,0,0,0,0,2019,0,1,0,0
255,1.0,0,0,0,0,0,0,2019,0,1,0,20
256,1.0,0,0,0,0,0,0,2019,0,1,0,40
258,1.0,0,0,0,0,0,0,2019,0,1,0,43
259,1.0,0,0,0,0,0,0,2019,0,1,0,40
261,1.0,0,0,0,0,0,0,2019,0,1,0,60
263,1.0,0,0,0,0,0,0,2019,0,1,0,40
264,1.0,0,0,0,0,0,0,2019,0,1,0,45
266,1.0,0,0,0,0,0,0,2019,0,1,0,60
267,1.0,0,0,0,0,0,0,2019,0,1,0,40
268,1.0,0,0,0,0,0,0,2019,0,1,0,35
269,1.0,0,0,0,0,0,0,2019,0,1,0,40
270,1.0,0,0,0,0,0,0,2019,0,1,0,40
272,1.0,0,0,0,0,0,0,2019,0,1,0,25
274,1.0,0,0,0,0,0,0,2019,0,1,0,40
275,1.0,0,0,0,0,0,0,2019,0,1,0,50
278,1.0,0,0,0,0,0,0,2019,0,1,0,40
279,1.0,0,0,0,0,0,0,2019,0,1,0,40
280,1.0,0,0,0,0,0,0,2019,0,1,0,40
282,1.0,0,0,0,0,0,0,2019,0,1,0,45
287,1.0,0,0,0,0,0,0,2019,1,0,0,30
288,1.0,0,0,0,0,0,0,2019,0,1,0,40
289,1.0,0,0,0,0,0,0,2019,0,1,0,10
292,1.0,0,0,0,0,0,0,2019,0,1,0,40
293,1.0,0,0,0,0,0,0,2019,0,1,0,40
295,1.0,0,0,0,0,0,0,2019,0,1,0,16
298,1.0,0,0,0,0,0,0,2019,1,0,0,30
299,1.0,0,0,0,0,0,0,2019,0,1,0,40
