PEHRUSLT,Telework,rank,rate
38.0885,0,16,TELENOW_2
40.976,1,16,TELECOVID_1
37.5669,0,16,TELECOVID_2
39.3544,1,16,TELE2019_1
36.36,0,16,Base
36.36,1,16,TELENOW_2
36.36,0,16,TELECOVID_1
36.36,1,16,TELECOVID_2
36.36,0,16,TELE2019_1
40.5454,1,25,TELENOW_1
40.3793,0,25,TELENOW_2
41.6687,1,25,TELECOVID_1
40.9879,1,25,TELE2019_1
39.96,0,25,Base
39.96,0,25,TELENOW_1
39.96,1,25,TELENOW_2
39.96,0,25,TELECOVID_1
39.96,0,25,TELE2019_1
40.364,0,100,TELENOW_2
41.5978,1,100,TELECOVID_1
40.8186,1,100,TELE2019_1
39.91,0,100,Base
39.91,1,100,TELENOW_2
39.91,0,100,TELECOVID_1
39.91,0,100,TELE2019_1
