,False,True,percentage
CORR_2,113290,0,0.0
GESTFIPS_1,2191,2341,0.516548984995587
GESTFIPS_2,299,351,0.54
GESTFIPS_4,2483,2550,0.5066560699384065
GESTFIPS_5,1166,1330,0.5328525641025641
GESTFIPS_6,12485,12751,0.505270248850848
GESTFIPS_8,1848,1829,0.4974163720424259
GESTFIPS_9,1416,1466,0.508674531575295
GESTFIPS_10,388,354,0.477088948787062
GESTFIPS_11,225,198,0.46808510638297873
GESTFIPS_12,6992,6521,0.48257233774883446
GESTFIPS_13,3443,3764,0.5222700152629388
GESTFIPS_15,474,496,0.511340206185567
GESTFIPS_16,819,840,0.5063291139240507
GESTFIPS_17,3967,4207,0.5146806948862246
GESTFIPS_18,2510,2719,0.5199847007075923
GESTFIPS_19,1451,1669,0.5349358974358974
GESTFIPS_20,1172,1310,0.5278001611603546
GESTFIPS_21,1674,1958,0.5390969162995595
GESTFIPS_22,1941,2253,0.5371959942775394
GESTFIPS_23,414,483,0.5384615384615384
GESTFIPS_24,1954,1967,0.501657740372354
GESTFIPS_25,2967,2917,0.49575118966689324
GESTFIPS_26,3254,3508,0.5187814256137238
GESTFIPS_27,2021,2017,0.4995047052996533
GESTFIPS_28,1157,1459,0.5577217125382263
GESTFIPS_29,2223,2203,0.49774062358788973
GESTFIPS_30,412,429,0.5101070154577884
GESTFIPS_31,784,823,0.5121344119477287
GESTFIPS_32,1295,1325,0.5057251908396947
GESTFIPS_33,600,511,0.45994599459945995
GESTFIPS_34,2961,2927,0.49711277173913043
GESTFIPS_35,838,858,0.5058962264150944
GESTFIPS_36,5671,5921,0.5107832988267771
GESTFIPS_37,3549,3691,0.5098066298342542
GESTFIPS_38,339,335,0.4970326409495549
GESTFIPS_39,3418,3753,0.5233579695997769
GESTFIPS_40,1526,1709,0.5282843894899536
GESTFIPS_41,1890,1790,0.48641304347826086
GESTFIPS_42,3780,3944,0.5106162610046608
GESTFIPS_44,355,373,0.5123626373626373
GESTFIPS_45,2322,2329,0.5007525263384218
GESTFIPS_46,401,422,0.5127582017010935
GESTFIPS_47,2699,3051,0.530608695652174
GESTFIPS_48,9281,9826,0.5142617888731879
GESTFIPS_49,1462,1557,0.515733686651209
GESTFIPS_50,253,216,0.4605543710021322
GESTFIPS_51,2843,2973,0.5111760660247593
GESTFIPS_53,2876,3030,0.5130375888926515
GESTFIPS_54,645,686,0.5154019534184824
GESTFIPS_55,1921,1913,0.4989567031820553
