,TUCASEID,TULINENO,HRYEAR4,PEAFNOW,PEMLR,PEHRWANT,PESCHENR,PEDWWNTO,TELE2019,TELECOVID,TELENOW,EMPA,EMPB,EMPC,EMPD,EMPSTAT,TELEALL,CORR
0,20190303190008,1,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1,20190303190026,1,2019,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
2,20190303190026,2,2019,2,4,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
3,20190303190026,3,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
4,20190303190026,4,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
5,20190303190038,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
6,20190303190038,2,2019,2,7,-1,2,2,-1,-1,-1,-1,2,-1,2,2,-1,2
7,20190303190038,3,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
9,20190303190048,2,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
10,20190303190048,3,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
14,20190303190060,1,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
15,20190303190075,1,2019,2,7,-1,2,2,-1,-1,-1,-1,2,-1,2,2,-1,2
16,20190303190075,2,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
18,20190303190075,4,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
19,20190303190091,1,2019,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
22,20190303190100,1,2019,2,7,-1,-1,2,-1,-1,-1,-1,2,-1,2,2,-1,2
23,20190303190100,2,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
24,20190303190100,3,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
25,20190303190100,4,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
26,20190303190113,1,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
27,20190303190113,2,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
28,20190303190113,3,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
29,20190303190113,4,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
30,20190303190123,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
33,20190303190123,4,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
34,20190303190123,5,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
35,20190303190123,6,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
36,20190303190131,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
41,20190303190533,1,2019,2,7,-1,2,2,-1,-1,-1,-1,2,-1,2,2,-1,2
42,20190303190533,2,2019,2,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
43,20190303190533,3,2019,2,7,-1,-1,2,-1,-1,-1,-1,2,-1,2,2,-1,2
44,20190303190537,1,2019,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
46,20190303190538,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
47,20190303190538,2,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
48,20190303190538,3,2019,2,7,-1,2,1,-1,-1,-1,-1,2,-1,2,2,-1,2
52,20190303190577,1,2019,2,7,-1,2,2,-1,-1,-1,-1,2,-1,2,2,-1,2
53,20190303190577,2,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
54,20190303190577,3,2019,2,7,-1,-1,2,-1,-1,-1,-1,2,-1,2,2,-1,2
55,20190303190577,4,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
56,20190303190577,5,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
58,20190303190590,2,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
59,20190303190590,3,2019,2,7,-1,2,2,-1,-1,-1,-1,2,-1,2,2,-1,2
61,20190303190590,5,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
63,20190303190590,7,2019,2,1,2,2,-1,-1,-1,-1,1,-1,-1,-1,1,-1,2
66,20190303190590,10,2019,2,7,-1,-1,2,-1,-1,-1,-1,2,-1,2,2,-1,2
67,20190303190590,14,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
68,20190303190593,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
69,20190303190593,2,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
70,20190303190593,3,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
71,20190303190607,1,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
72,20190303190607,2,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
76,20190303190633,1,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
79,20190303190653,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
80,20190303190653,2,2019,2,7,-1,2,2,-1,-1,-1,-1,2,-1,2,2,-1,2
82,20190303190657,1,2019,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
83,20190303190657,2,2019,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
85,20190303190706,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
86,20190303190706,2,2019,2,2,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
87,20190303190706,3,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
88,20190303190727,1,2019,2,1,1,2,-1,-1,-1,-1,-1,-1,2,2,2,-1,2
89,20190303190727,2,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
90,20190303190727,3,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
91,20190303190727,4,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
92,20190303190739,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
93,20190303190739,2,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
94,20190303190739,3,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
95,20190303190749,1,2019,2,7,-1,2,2,-1,-1,-1,-1,2,-1,2,2,-1,2
97,20190303190816,1,2019,2,7,-1,-1,2,-1,-1,-1,-1,2,-1,2,2,-1,2
98,20190303190816,2,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
99,20190303190816,3,2019,2,7,-1,-1,2,-1,-1,-1,-1,2,-1,2,2,-1,2
100,20190303190816,4,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
103,20190303190827,1,2019,2,7,-1,2,2,-1,-1,-1,-1,2,-1,2,2,-1,2
104,20190303190827,2,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
105,20190303190827,3,2019,2,7,-1,-1,2,-1,-1,-1,-1,2,-1,2,2,-1,2
106,20190303190833,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
107,20190303190833,2,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
108,20190303190836,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
111,20190303190862,1,2019,2,1,2,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,2
112,20190303190862,2,2019,2,1,3,2,-1,-1,-1,-1,1,-1,-1,-1,1,-1,2
115,20190303190884,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
116,20190303190884,2,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
117,20190303190884,3,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
119,20190303190895,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
120,20190303190895,2,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
121,20190303190895,3,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
122,20190303190896,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
123,20190303190896,2,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
124,20190303190901,1,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
126,20190303190917,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
127,20190303190917,2,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
128,20190303190917,3,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
129,20190303190968,1,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
130,20190303190968,2,2019,2,7,-1,2,2,-1,-1,-1,-1,2,-1,2,2,-1,2
132,20190303190968,4,2019,2,7,-1,-1,2,-1,-1,-1,-1,2,-1,2,2,-1,2
133,20190303190976,1,2019,2,1,2,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,2
134,20190303190976,2,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
137,20190303191021,1,2019,2,1,2,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,2
138,20190303191021,2,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
139,20190303191085,1,2019,2,7,-1,-1,2,-1,-1,-1,-1,2,-1,2,2,-1,2
140,20190303191085,2,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
142,20190303191106,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
143,20190303191106,2,2019,2,7,-1,2,2,-1,-1,-1,-1,2,-1,2,2,-1,2
144,20190303191106,3,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
145,20190303191106,4,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
146,20190303191107,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
147,20190303191112,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
148,20190303191112,2,2019,2,7,-1,2,2,-1,-1,-1,-1,2,-1,2,2,-1,2
149,20190303191112,3,2019,2,7,-1,-1,2,-1,-1,-1,-1,2,-1,2,2,-1,2
150,20190303191112,4,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
151,20190303191112,5,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
152,20190303191112,6,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
153,20190303191112,7,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
155,20190303191122,2,2019,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
156,20190303191122,3,2019,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
158,20190303191122,5,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
159,20190303191122,6,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
160,20190303191135,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
161,20190303191138,1,2019,2,1,2,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,2
162,20190303191138,2,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
163,20190303191147,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
164,20190303191147,2,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
165,20190303191147,3,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
166,20190303191147,4,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
167,20190303191158,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
168,20190303191158,2,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
169,20190303191158,3,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
170,20190303191158,4,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
173,20190303191186,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
174,20190303191196,1,2019,2,7,-1,2,2,-1,-1,-1,-1,2,-1,2,2,-1,2
176,20190303191198,1,2019,2,1,2,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,2
178,20190303191212,1,2019,2,1,2,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,2
180,20190303191226,2,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
181,20190303191243,1,2019,2,1,3,2,-1,-1,-1,-1,1,-1,-1,-1,1,-1,2
182,20190303191243,2,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
183,20190303191244,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
184,20190303191275,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
185,20190303191281,1,2019,2,7,-1,2,2,-1,-1,-1,-1,2,-1,2,2,-1,2
186,20190303191281,2,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
187,20190303191281,3,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
188,20190303191281,4,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
190,20190303191338,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
191,20190303191338,2,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
192,20190303191338,3,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
193,20190303191355,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
195,20190303191355,3,2019,2,7,-1,2,2,-1,-1,-1,-1,2,-1,2,2,-1,2
197,20190303191363,1,2019,2,7,-1,2,2,-1,-1,-1,-1,2,-1,2,2,-1,2
198,20190303191363,2,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
199,20190303191363,3,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
200,20190303191363,4,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
201,20190303191374,1,2019,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
202,20190303191374,2,2019,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
203,20190303191377,1,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
205,20190303191389,1,2019,2,1,2,2,-1,-1,-1,-1,1,-1,-1,-1,1,-1,2
206,20190303191389,2,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
207,20190303191389,3,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
208,20190303191389,4,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
209,20190303191396,1,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
210,20190303191403,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
211,20190303191403,2,2019,2,7,-1,2,2,-1,-1,-1,-1,2,-1,2,2,-1,2
212,20190303191403,3,2019,2,7,-1,-1,2,-1,-1,-1,-1,2,-1,2,2,-1,2
213,20190303191403,4,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
214,20190303191403,5,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
215,20190303191403,6,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
216,20190303191440,1,2019,2,7,-1,-1,1,-1,-1,-1,-1,2,-1,2,2,-1,2
217,20190303191440,2,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
218,20190303191449,1,2019,2,7,-1,2,1,-1,-1,-1,-1,2,-1,2,2,-1,2
219,20190303191449,2,2019,2,2,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
220,20190303191455,1,2019,2,7,-1,-1,2,-1,-1,-1,-1,2,-1,2,2,-1,2
221,20190303191455,2,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
222,20190303191455,3,2019,2,7,-1,2,2,-1,-1,-1,-1,2,-1,2,2,-1,2
224,20190303191455,5,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
225,20190303191459,1,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
226,20190303191459,2,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
229,20190303191494,1,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
232,20190303191543,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
233,20190303191543,2,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
235,20190303191556,2,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
236,20190303191556,3,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
237,20190303191561,1,2019,2,6,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
238,20190303191561,2,2019,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
239,20190303191563,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
240,20190303191563,2,2019,2,7,-1,2,2,-1,-1,-1,-1,2,-1,2,2,-1,2
241,20190303191563,3,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
243,20190303191576,1,2019,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
244,20190303191576,2,2019,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
245,20190303191581,1,2019,2,7,-1,-1,1,-1,-1,-1,-1,2,-1,2,2,-1,2
246,20190303191607,1,2019,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
247,20190303191629,1,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
248,20190303191629,2,2019,2,1,2,2,-1,-1,-1,-1,1,-1,-1,-1,1,-1,2
250,20190303191639,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
251,20190303191639,2,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
252,20190303191639,3,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
253,20190303191652,1,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
254,20190303191652,2,2019,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
255,20190303191674,1,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
256,20190303191674,2,2019,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
257,20190303191674,3,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
